scenario,step,now,action,amount_stable,amount_onyc_equivalent,vault_before_stable,pressure_before_stable,effective_volume_stable,wall_stable,output_stable,output_pct,vault_after_stable,pressure_after_stable
one_30000_sell,1,1,sell_onyc,30000000000,30000000000000,100000000000000,0,30000000000,99880143827407,29849989069,99.499964,99970150010931,30000000000
three_1000_sells,1,1,sell_onyc,1000000000,1000000000000,100000000000000,0,1000000000,100000000000000,994999997,99.500000,99999005000003,1000000000
three_1000_sells,2,2,sell_onyc,1000000000,1000000000000,99999005000003,1000000000,2000000000,99999005000003,994999997,99.500000,99998010000006,2000000000
three_1000_sells,3,3,sell_onyc,1000000000,1000000000000,99998010000006,2000000000,3000000000,99988011198886,994999997,99.500000,99997015000009,3000000000
twelve_2500_sells,1,1,sell_onyc,2500000000,2500000000000,100000000000000,0,2500000000,99990000999900,2487499978,99.499999,99997512500022,2500000000
twelve_2500_sells,2,2,sell_onyc,2500000000,2500000000000,99997512500022,2500000000,5000000000,99977516996622,2487499978,99.499999,99995025000044,5000000000
twelve_2500_sells,3,3,sell_onyc,2500000000,2500000000000,99995025000044,5000000000,7500000000,99965035489397,2487499978,99.499999,99992537500066,7500000000
twelve_2500_sells,4,4,sell_onyc,2500000000,2500000000000,99992537500066,7500000000,10000000000,99952556477475,2487499978,99.499999,99990050000088,10000000000
twelve_2500_sells,5,5,sell_onyc,2500000000,2500000000000,99990050000088,10000000000,12500000000,99940079960107,2487499978,99.499999,99987562500110,12500000000
twelve_2500_sells,6,6,sell_onyc,2500000000,2500000000000,99987562500110,12500000000,15000000000,99927605936548,2487499978,99.499999,99985075000132,15000000000
twelve_2500_sells,7,7,sell_onyc,2500000000,2500000000000,99985075000132,15000000000,17500000000,99915134406047,2487499978,99.499999,99982587500154,17500000000
twelve_2500_sells,8,8,sell_onyc,2500000000,2500000000000,99982587500154,17500000000,20000000000,99902665367859,2487499978,99.499999,99980100000176,20000000000
twelve_2500_sells,9,9,sell_onyc,2500000000,2500000000000,99980100000176,20000000000,22500000000,99890198821236,2487499978,99.499999,99977612500198,22500000000
twelve_2500_sells,10,10,sell_onyc,2500000000,2500000000000,99977612500198,22500000000,25000000000,99877734765432,2487499978,99.499999,99975125000220,25000000000
twelve_2500_sells,11,11,sell_onyc,2500000000,2500000000000,99975125000220,25000000000,27500000000,99865273199700,2487499978,99.499999,99972637500242,27500000000
twelve_2500_sells,12,12,sell_onyc,2500000000,2500000000000,99972637500242,27500000000,30000000000,99852814123294,2487499978,99.499999,99970150000264,30000000000
four_250_then_one_3000_sell,1,1,sell_onyc,250000000,250000000000,100000000000000,0,250000000,100000000000000,248749999,99.500000,99999751250001,250000000
four_250_then_one_3000_sell,2,2,sell_onyc,250000000,250000000000,99999751250001,250000000,500000000,99999751250001,248749999,99.500000,99999502500002,500000000
four_250_then_one_3000_sell,3,3,sell_onyc,250000000,250000000000,99999502500002,500000000,750000000,99999502500002,248749999,99.500000,99999253750003,750000000
four_250_then_one_3000_sell,4,4,sell_onyc,250000000,250000000000,99999253750003,750000000,1000000000,99999253750003,248749999,99.500000,99999005000004,1000000000
four_250_then_one_3000_sell,5,5,sell_onyc,3000000000,3000000000000,99999005000004,1000000000,4000000000,99989006099394,2984999965,99.499999,99996020000039,4000000000
buy_relief_after_1000_sell,1,1,sell_onyc,1000000000,1000000000000,100000000000000,0,1000000000,100000000000000,994999997,99.500000,99999005000003,1000000000
buy_relief_after_1000_sell,2,2,buy_onyc,1000000000,1000000000000,99999005000003,1000000000,0,100000005000003,0,0.000000,100000005000003,0
buy_relief_after_1000_sell,3,3,sell_onyc,1000000000,1000000000000,100000005000003,0,1000000000,100000005000003,994999997,99.500000,99999010000006,1000000000
buy_relief_after_1000_sell,4,4,sell_onyc,1000000000,1000000000000,99999010000006,1000000000,2000000000,99999010000006,994999997,99.500000,99998015000009,2000000000
buy_relief_after_3000_sell,1,1,sell_onyc,3000000000,3000000000000,100000000000000,0,3000000000,99990000999900,2984999965,99.499999,99997015000035,3000000000
buy_relief_after_3000_sell,2,2,buy_onyc,3000000000,3000000000000,99997015000035,3000000000,0,100000015000035,0,0.000000,100000015000035,0
buy_relief_after_3000_sell,3,3,sell_onyc,3000000000,3000000000000,100000015000035,0,3000000000,99990015998435,2984999965,99.499999,99997030000070,3000000000
one_full_vault_sell,1,1,sell_onyc,10000000000,10000000000000,100000000000000,0,10000000000,99960015993602,9949999299,99.499993,99990050000701,10000000000
epoch_decay_after_3000_sell,1,1,sell_onyc,3000000000,3000000000000,100000000000000,0,3000000000,99990000999900,2984999965,99.499999,99997015000035,3000000000
epoch_decay_after_3000_sell,2,43202,sell_onyc,1000000000,1000000000000,99997015000035,3000000000,4000000000,99987016298405,994999997,99.500000,99996020000038,4000000000
epoch_decay_after_3000_sell,3,129603,sell_onyc,1000000000,1000000000000,99996020000038,4000000000,5000000000,99976024795078,994999997,99.500000,99995025000041,5000000000
