util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46463,9981,94.82244898
99,0.9900,10000000,10000000,100.00000000,99000,94050,93696,9962,94.64242424
148,1.4800,10000000,10000000,100.00000000,148000,140600,139809,9943,94.46554054
198,1.9800,10000000,10000000,100.00000000,198000,188100,186683,9924,94.28434343
247,2.4700,10000000,10000000,100.00000000,247000,234650,232445,9906,94.10728745
297,2.9700,10000000,10000000,100.00000000,297000,282150,278961,9886,93.92626263
346,3.4600,10000000,10000000,100.00000000,346000,328700,324371,9868,93.74884393
396,3.9600,10000000,10000000,100.00000000,396000,376200,370526,9849,93.56717172
445,4.4500,10000000,10000000,100.00000000,445000,422750,415582,9830,93.38921348
495,4.9500,10000000,10000000,100.00000000,495000,470250,461375,9811,93.20707071
544,5.4400,10000000,10000000,100.00000000,544000,516800,506073,9792,93.02812500
594,5.9400,10000000,10000000,100.00000000,594000,564300,551501,9773,92.84528620
643,6.4300,10000000,10000000,100.00000000,643000,610850,595840,9754,92.66562986
693,6.9300,10000000,10000000,100.00000000,693000,658350,640900,9734,92.48196248
742,7.4200,10000000,10000000,100.00000000,742000,704900,684876,9715,92.30134771
792,7.9200,10000000,10000000,100.00000000,792000,752400,729563,9696,92.11654040
841,8.4100,10000000,10000000,100.00000000,841000,798950,773172,9677,91.93483948
891,8.9100,10000000,10000000,100.00000000,891000,846450,817482,9657,91.74882155
940,9.4000,10000000,10000000,100.00000000,940000,893000,860720,9638,91.56595745
990,9.9000,10000000,10000000,100.00000000,990000,940500,904648,9618,91.37858586
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,947509,9599,91.19432146
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,991050,9579,91.00550964
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1033529,9559,90.81977153
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1076677,9539,90.62937710
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1118766,9520,90.44187551
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1161514,9499,90.24972805
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1203208,9480,90.06047904
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1245548,9459,89.86637807
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1286839,9439,89.67519164
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1328764,9418,89.47905724
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1369644,9398,89.28578879
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1411146,9377,89.08750000
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1451607,9357,88.89203919
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1492676,9335,88.69138443
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1532708,9315,88.49353349
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1573335,9293,88.29040404
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1612929,9272,88.09006008
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1653104,9250,87.88431685
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1692250,9229,87.68134715
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1731962,9207,87.47282828
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1770649,9186,87.26707738
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1809887,9163,87.05565176
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,1848103,9141,86.84694549
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,1886855,9119,86.63246097
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,1924590,9096,86.42074540
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,1962844,9074,86.20307422
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,2000084,9051,85.98813414
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,2037826,9028,85.76708754
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2074559,9005,85.54882474
