scenario,step,now,action,amount_stable,amount_onyc_equivalent,vault_before_stable,pressure_before_stable,effective_volume_stable,wall_stable,output_stable,output_pct,vault_after_stable,pressure_after_stable
custom,1,1,sell_onyc,10000000000,10000000000000,100000000000000,0,10000000000,99960015993602,9949999999,99.500000,99990050000001,10000000000
custom,2,2,sell_onyc,10000000000,10000000000000,99990050000001,10000000000,20000000000,99910121902479,9949999999,99.500000,99980100000002,20000000000
custom,3,3,sell_onyc,10000000000,10000000000000,99980100000002,20000000000,30000000000,99860267678787,9949999999,99.500000,99970150000003,30000000000
custom,4,4,sell_onyc,10000000000,10000000000000,99970150000003,30000000000,40000000000,99810453274763,9949999999,99.500000,99960200000004,40000000000
custom,5,5,sell_onyc,10000000000,10000000000000,99960200000004,40000000000,50000000000,99760678642718,9949999999,99.500000,99950250000005,50000000000
custom,6,6,sell_onyc,10000000000,10000000000000,99950250000005,50000000000,60000000000,99710943735040,9949999999,99.500000,99940300000006,60000000000
custom,7,7,sell_onyc,10000000000,10000000000000,99940300000006,60000000000,70000000000,99661248504194,9949999999,99.500000,99930350000007,70000000000
custom,8,8,sell_onyc,10000000000,10000000000000,99930350000007,70000000000,80000000000,99611592902718,9949999999,99.500000,99920400000008,80000000000
custom,9,9,sell_onyc,10000000000,10000000000000,99920400000008,80000000000,90000000000,99561976883228,9949999999,99.500000,99910450000009,90000000000
custom,10,10,sell_onyc,10000000000,10000000000000,99910450000009,90000000000,100000000000,99512400398415,9949999999,99.500000,99900500000010,100000000000
custom,11,11,sell_onyc,10000000000,10000000000000,99900500000010,100000000000,110000000000,99462863401045,9949999999,99.500000,99890550000011,110000000000
custom,12,12,sell_onyc,10000000000,10000000000000,99890550000011,110000000000,120000000000,99413365843959,9949999999,99.500000,99880600000012,120000000000
custom,13,13,sell_onyc,10000000000,10000000000000,99880600000012,120000000000,130000000000,99363907680075,9949999999,99.500000,99870650000013,130000000000
custom,14,14,sell_onyc,10000000000,10000000000000,99870650000013,130000000000,140000000000,99314488862383,9949999999,99.500000,99860700000014,140000000000
